local_t_yr,phase,pos_noNN_err,pos_encounterNN_err,pos_gain_instant_pct,vel_noNN_err,vel_encounterNN_err,vel_gain_instant_pct
0.0,pre_correction_window,1.2621656163383514e-15,1.2621656163383514e-15,0.0,1.1722761033141078e-17,1.1722761033141078e-17,0.0
0.004,pre_correction_window,0.053061693827401245,0.053061693827401245,0.0,0.05025531646520492,0.05025531646520492,0.0
0.008,pre_correction_window,0.05027155004915993,0.05027155004915993,0.0,0.04770187354441322,0.04770187354441322,0.0
0.012,pre_correction_window,0.04748132413456871,0.04748132413456871,0.0,0.04514298040732898,0.04514298040732898,0.0
0.016,pre_correction_window,0.04469100596368226,0.04469100596368226,0.0,0.04257818545991284,0.04257818545991284,0.0
0.02,pre_correction_window,0.041900584876190916,0.041900584876190916,0.0,0.04000700885391933,0.04000700885391933,0.0
0.024,pre_correction_window,0.03911004967591638,0.03911004967591638,0.0,0.03742894150215686,0.03742894150215686,0.0
0.028,pre_correction_window,0.03631938865485336,0.03631938865485336,0.0,0.03484344451768369,0.03484344451768369,0.0
0.032,pre_correction_window,0.03352858964967438,0.03352858964967438,0.0,0.032249949403369414,0.032249949403369414,0.0
0.036000000000000004,pre_correction_window,0.030737640153140088,0.030737640153140088,0.0,0.029647859560390854,0.029647859560390854,0.0
0.04,pre_correction_window,0.027946527520954643,0.027946527520954643,0.0,0.027036554142645355,0.027036554142645355,0.0
0.044,pre_correction_window,0.025155239350801613,0.025155239350801613,0.0,0.02441539619657489,0.02441539619657489,0.0
0.048,pre_correction_window,0.022363764187179554,0.022363764187179554,0.0,0.021783748953314343,0.021783748953314343,0.0
0.052000000000000005,pre_correction_window,0.019572092881292188,0.019572092881292188,0.0,0.01914100851202104,0.01914100851202104,0.0
0.056,pre_correction_window,0.016780221373977562,0.016780221373977562,0.0,0.01648667197516713,0.01648667197516713,0.0
0.06,pre_correction_window,0.01398815689673355,0.01398815689673355,0.0,0.01382048999579579,0.01382048999579579,0.0
0.064,pre_correction_window,0.011195933567653716,0.011195933567653716,0.0,0.011142848035379207,0.011142848035379207,0.0
0.068,pre_correction_window,0.008403659248599139,0.008403659248599139,0.0,0.00845589083015128,0.00845589083015128,0.0
0.07200000000000001,pre_correction_window,0.0056117025647518465,0.0056117025647518465,0.0,0.005767833528247112,0.005767833528247112,0.0
0.076,pre_correction_window,0.0028219905540944603,0.0028219905540944603,0.0,0.003119661836965011,0.003119661836965011,0.0
0.08,pre_correction_window,0.00021194780363985582,0.00021194780363985582,0.0,0.0010938863087256445,0.0010938863087256445,0.0
0.084,pre_correction_window,0.05324265492786875,0.05324265492786875,0.0,0.0604699271387606,0.0604699271387606,0.0
0.088,pre_correction_window,0.050449630941300415,0.050449630941300415,0.0,0.057800950911862076,0.057800950911862076,0.0
0.092,pre_correction_window,0.04765589475177528,0.04765589475177528,0.0,0.05510087209838406,0.05510087209838406,0.0
0.096,pre_correction_window,0.04486140773620558,0.04486140773620558,0.0,0.05236751298930652,0.05236751298930652,0.0
0.1,pre_correction_window,0.04206612952050586,0.04206612952050586,0.0,0.04959858323238409,0.04959858323238409,0.0
0.10400000000000001,pre_correction_window,0.0392700181733196,0.0392700181733196,0.0,0.04679168297747352,0.04679168297747352,0.0
0.108,pre_correction_window,0.03647303056244097,0.03647303056244097,0.0,0.04394431052079538,0.04394431052079538,0.0
0.112,pre_correction_window,0.033675122974494744,0.033675122974494744,0.0,0.04105387704104065,0.04105387704104065,0.0
0.116,pre_correction_window,0.030876252171729436,0.030876252171729436,0.0,0.038117732780906376,0.038117732780906376,0.0
0.12,pre_correction_window,0.02807637719891612,0.02807637719891612,0.0,0.035133212279669056,0.035133212279669056,0.0
0.124,pre_correction_window,0.025275462531428334,0.025275462531428334,0.0,0.03209771256414905,0.03209771256414905,0.0
0.128,pre_correction_window,0.02247348374611361,0.02247348374611361,0.0,0.029008831112441024,0.029008831112441024,0.0
0.132,pre_correction_window,0.019670438245419357,0.019670438245419357,0.0,0.02586461861618317,0.02586461861618317,0.0
0.136,pre_correction_window,0.016866366934519005,0.016866366934519005,0.0,0.02266406821250573,0.02266406821250573,0.0
0.14,pre_correction_window,0.014061402174044134,0.014061402174044134,0.0,0.019408135965892404,0.019408135965892404,0.0
0.14400000000000002,pre_correction_window,0.01125588789823852,0.01125588789823852,0.0,0.016102093720213845,0.016102093720213845,0.0
0.148,pre_correction_window,0.008450739647704212,0.008450739647704212,0.0,0.012761741137436432,0.012761741137436432,0.0
0.152,pre_correction_window,0.005648877612632712,0.005648877612632712,0.0,0.009433202217610574,0.009433202217610574,0.0
0.156,pre_correction_window,0.002865056957948863,0.002865056957948863,0.0,0.006274999963657852,0.006274999963657852,0.0
0.16,pre_correction_window,0.0005854244108013183,0.0005854244108013183,0.0,0.003993557267416283,0.003993557267416283,0.0
0.164,pre_correction_window,0.05397236072394156,0.05397236072394156,0.0,0.09373881956720127,0.09373881956720127,0.0
0.168,pre_correction_window,0.0511559358967072,0.0511559358967072,0.0,0.09021030902722742,0.09021030902722742,0.0
0.17200000000000001,pre_correction_window,0.048336768363568164,0.048336768363568164,0.0,0.08656236045321188,0.08656236045321188,0.0
0.176,pre_correction_window,0.04551470864147825,0.04551470864147825,0.0,0.08278923040686478,0.08278923040686478,0.0
0.18,pre_correction_window,0.04268960427174868,0.04268960427174868,0.0,0.07888534115559696,0.07888534115559696,0.0
0.184,pre_correction_window,0.0398613019027517,0.0398613019027517,0.0,0.0748454246103195,0.0748454246103195,0.0
0.188,pre_correction_window,0.037029650427001945,0.037029650427001945,0.0,0.07066471935948289,0.07066471935948289,0.0
0.192,pre_correction_window,0.03419450574244407,0.03419450574244407,0.0,0.06633924564269933,0.06633924564269933,0.0
0.196,pre_correction_window,0.031355738108805396,0.031355738108805396,0.0,0.061866199478628384,0.061866199478628384,0.0
0.2,pre_correction_window,0.028513243831299766,0.028513243831299766,0.0,0.057244537472970564,0.057244537472970564,0.0
0.20400000000000001,pre_correction_window,0.025666964528435164,0.025666964528435164,0.0,0.052475882510111156,0.052475882510111156,0.0
0.20800000000000002,pre_correction_window,0.02281692048713008,0.02281692048713008,0.0,0.047565999839091745,0.047565999839091745,0.0
0.212,pre_correction_window,0.019963272049625728,0.019963272049625728,0.0,0.04252734926983235,0.04252734926983235,0.0
0.216,pre_correction_window,0.017106441637485353,0.017106441637485353,0.0,0.03738380369566615,0.03738380369566615,0.0
0.22,pre_correction_window,0.014247381425525864,0.014247381425525864,0.0,0.032180046611950924,0.032180046611950924,0.0
0.224,pre_correction_window,0.011388242377828543,0.011388242377828543,0.0,0.027001838668325503,0.027001838668325503,0.0
0.228,pre_correction_window,0.008534382710699156,0.008534382710699156,0.0,0.022023091481047544,0.022023091481047544,0.0
0.232,pre_correction_window,0.00570236477906426,0.00570236477906426,0.0,0.01761795701077782,0.01761795701077782,0.0
0.23600000000000002,pre_correction_window,0.0029731003528133985,0.0029731003528133985,0.0,0.014575823280946221,0.014575823280946221,0.0
0.24,pre_correction_window,0.001382423798931579,0.001382423798931579,0.0,0.01408698926669822,0.01408698926669822,0.0
0.244,pre_correction_window,0.05591052906692287,0.05591052906692287,0.0,0.1175495446573557,0.1175495446573557,0.0
0.248,pre_correction_window,0.05300800004583468,0.05300800004583468,0.0,0.1114300832132073,0.1114300832132073,0.0
0.252,pre_correction_window,0.05009758093123825,0.05009758093123825,0.0,0.1051338776118101,0.1051338776118101,0.0
0.256,pre_correction_window,0.04717917031699022,0.04717917031699022,0.0,0.09867607157093146,0.09867607157093146,0.0
0.26,pre_correction_window,0.044252718577875605,0.044252718577875605,0.0,0.0920759709285586,0.0920759709285586,0.0
0.264,pre_correction_window,0.04131823648989396,0.04131823648989396,0.0,0.08535771119821028,0.08535771119821028,0.0
0.268,pre_correction_window,0.03837580552570685,0.03837580552570685,0.0,0.07855122075160706,0.07855122075160706,0.0
0.272,pre_correction_window,0.03542559108230031,0.03542559108230031,0.0,0.07169371353719643,0.07169371353719643,0.0
0.276,pre_correction_window,0.032467860971478656,0.032467860971478656,0.0,0.06483212373004021,0.06483212373004021,0.0
0.28,pre_correction_window,0.029503013538719907,0.029503013538719907,0.0,0.05802721445968002,0.05802721445968002,0.0
0.28400000000000003,pre_correction_window,0.026531623839123372,0.026531623839123372,0.0,0.0513606611736272,0.0513606611736272,0.0
0.28800000000000003,pre_correction_window,0.02355452494755165,0.02355452494755165,0.0,0.04494735529611473,0.04494735529611473,0.0
0.292,pre_correction_window,0.020572961349282798,0.020572961349282798,0.0,0.03895636908882732,0.03895636908882732,0.0
0.296,pre_correction_window,0.017588901418562418,0.017588901418562418,0.0,0.033643654865123634,0.033643654865123634,0.0
0.3,pre_correction_window,0.014605737453108197,0.014605737453108197,0.0,0.02938908159203413,0.02938908159203413,0.0
0.304,pre_correction_window,0.011630065410461738,0.011630065410461738,0.0,0.02668847393807975,0.02668847393807975,0.0
0.308,pre_correction_window,0.00867709638568667,0.00867709638568667,0.0,0.02599075200380007,0.02599075200380007,0.0
0.312,pre_correction_window,0.005792253791651369,0.005792253791651369,0.0,0.027391355527275365,0.027391355527275365,0.0
0.316,pre_correction_window,0.0031853271730997346,0.0031853271730997346,0.0,0.03053604100213592,0.03053604100213592,0.0
0.32,pre_correction_window,0.002276982458181675,0.002276982458181675,0.0,0.03488688586626159,0.03488688586626159,0.0
0.324,pre_correction_window,0.057095541187890585,0.057095541187890585,0.0,0.09523263316991354,0.09523263316991354,0.0
0.328,pre_correction_window,0.054058677379324155,0.054058677379324155,0.0,0.08880032995831923,0.08880032995831923,0.0
0.332,pre_correction_window,0.051017090977648206,0.051017090977648206,0.0,0.08250003234896072,0.08250003234896072,0.0
0.336,pre_correction_window,0.047971322953617355,0.047971322953617355,0.0,0.07635108346473231,0.07635108346473231,0.0
0.34,pre_correction_window,0.04492194505819644,0.04492194505819644,0.0,0.07037402618679388,0.07037402618679388,0.0
0.34400000000000003,pre_correction_window,0.04186957223242293,0.04186957223242293,0.0,0.06459168550682677,0.06459168550682677,0.0
0.34800000000000003,pre_correction_window,0.03881488265229773,0.03881488265229773,0.0,0.059030663622339746,0.059030663622339746,0.0
0.352,pre_correction_window,0.035758649588716024,0.035758649588716024,0.0,0.05372338627888324,0.05372338627888324,0.0
0.356,pre_correction_window,0.032701792397576604,0.032701792397576604,0.0,0.04871085622983059,0.04871085622983059,0.0
0.36,pre_correction_window,0.029645459986409044,0.029645459986409044,0.0,0.04404621327361751,0.04404621327361751,0.0
0.364,pre_correction_window,0.02659117230471822,0.02659117230471822,0.0,0.0397989276727995,0.0397989276727995,0.0
0.368,pre_correction_window,0.023541071619907095,0.023541071619907095,0.0,0.03605867274192816,0.03605867274192816,0.0
0.372,pre_correction_window,0.020498395885407555,0.020498395885407555,0.0,0.03293622968944546,0.03293622968944546,0.0
0.376,pre_correction_window,0.01746843914529063,0.01746843914529063,0.0,0.030556253461801446,0.030556253461801446,0.0
0.38,pre_correction_window,0.01446069262463714,0.01446069262463714,0.0,0.0290357331188038,0.0290357331188038,0.0
0.384,pre_correction_window,0.01149423891878404,0.01149423891878404,0.0,0.028448384650519586,0.028448384650519586,0.0
0.388,pre_correction_window,0.008613731359138191,0.008613731359138191,0.0,0.028791083587785267,0.028791083587785267,0.0
0.392,pre_correction_window,0.005947750618102328,0.005947750618102328,0.0,0.029977400167136806,0.029977400167136806,0.0
0.396,pre_correction_window,0.00395966395123886,0.00395966395123886,0.0,0.03186506658297923,0.03186506658297923,0.0
0.4,pre_correction_window,0.0038891381025209586,0.0038891381025209586,0.0,0.034296538499429804,0.034296538499429804,0.0
0.404,pre_correction_window,0.05689185039175567,0.05689185039175567,0.0,0.07075292443972496,0.07075292443972496,0.0
0.40800000000000003,pre_correction_window,0.05381356224143089,0.05381356224143089,0.0,0.06652272988323465,0.06652272988323465,0.0
0.41200000000000003,pre_correction_window,0.05073589790562404,0.05073589790562404,0.0,0.06241495133704907,0.06241495133704907,0.0
0.41600000000000004,pre_correction_window,0.047659320035251154,0.047659320035251154,0.0,0.058435235628521966,0.058435235628521966,0.0
0.42,pre_correction_window,0.04458437538795765,0.04458437538795765,0.0,0.054591124140345025,0.054591124140345025,0.0
0.424,pre_correction_window,0.0415117299888962,0.0415117299888962,0.0,0.05089258444675441,0.05089258444675441,0.0
0.428,pre_correction_window,0.0384422206372119,0.0384422206372119,0.0,0.047352670563716164,0.047352670563716164,0.0
0.432,pre_correction_window,0.03537693255649638,0.03537693255649638,0.0,0.04398832611883538,0.04398832611883538,0.0
0.436,pre_correction_window,0.032317320260782906,0.032317320260782906,0.0,0.04082131963548883,0.04082131963548883,0.0
