step_idx,substep_idx,t_yr,dt_step,event_type,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,handoff_guard_skip,handoff_locked,n_zone3_pairs_this_step,sample_time_minus_1yr,noNN_err_minus_1yr,mode_err_minus_1yr,mode_minus_noNN_minus_1yr,sample_time_at_event,noNN_err_at_event,mode_err_at_event,mode_minus_noNN_at_event,sample_time_plus_1yr,noNN_err_plus_1yr,mode_err_plus_1yr,mode_minus_noNN_plus_1yr,sample_time_plus_5yr,noNN_err_plus_5yr,mode_err_plus_5yr,mode_minus_noNN_plus_5yr
6701,0,33.50499999999869,0.005,,1,2,0.14802732889093098,-1.3061333851766308,0.3322510798408627,0.01,0.005,1.0194591822019983,1.00000616098866,False,True,False,False,1,32.506501300260055,0.003227731290969991,0.003227731290969991,0.0,33.50670134026806,0.002219394447029282,0.0022194115937802473,1.714675096527174e-08,34.506901380276055,0.0018843367194762571,0.011000645453366308,0.009116308733890051,38.50770154030806,0.01209012650054293,0.49697690796193583,0.4848867814613929
6702,0,33.50999999999869,0.005,,1,2,0.1459438016088903,-1.302871887218352,0.3364081729926297,0.01,0.005,1.0191283294402473,1.0000063381559061,False,True,False,False,1,32.506501300260055,0.003227731290969991,0.003227731290969991,0.0,33.50670134026806,0.002219394447029282,0.0022194115937802473,1.714675096527174e-08,34.506901380276055,0.0018843367194762571,0.011000645453366308,0.009116308733890051,38.50770154030806,0.01209012650054293,0.49697690796193583,0.4848867814613929
6703,0,33.51499999999869,0.005,,1,2,0.1438504665972514,-1.2997295849296244,0.34060403664676864,0.01,0.005,1.0188061819156875,1.000006523966028,False,True,False,False,1,32.506501300260055,0.003227731290969991,0.003227731290969991,0.0,33.50670134026806,0.002219394447029282,0.0022194115937802473,1.714675096527174e-08,34.506901380276055,0.0018843367194762571,0.011000645453366308,0.009116308733890051,38.50770154030806,0.01209012650054293,0.49697690796193583,0.4848867814613929
6704,0,33.519999999998696,0.005,,1,2,0.14174680697812952,-1.296703870246435,0.34484158157428585,0.01,0.005,1.0184937155964187,1.0000067190471005,False,True,False,False,1,32.52650530106021,0.0031957554618553723,0.0031957554618553723,0.0,33.526705341068215,0.0022135841749920736,0.0022140349622525603,4.507872604867652e-07,34.52690538107622,0.0018753991590155364,0.01137882675175317,0.009503427592737633,38.527705541108226,0.012171507468509288,0.5004043051205961,0.48823279765208677
6705,0,33.5249999999987,0.005,,1,2,0.1396322879385978,-1.293792089620849,0.34912399946431444,0.01,0.005,1.0181919983518077,1.000006924087721,False,True,False,False,1,32.52650530106021,0.0031957554618553723,0.0031957554618553723,0.0,33.526705341068215,0.0022135841749920736,0.0022140349622525603,4.507872604867652e-07,34.52690538107622,0.0018753991590155364,0.01137882675175317,0.009503427592737633,38.527705541108226,0.012171507468509288,0.5004043051205961,0.48823279765208677
6706,0,33.5299999999987,0.005,,1,2,0.13750635537434283,-1.2909915359981248,0.3534547878989131,0.01,0.005,1.0179025604586454,1.000007139844329,False,True,False,False,1,32.52650530106021,0.0031957554618553723,0.0031957554618553723,0.0,33.526705341068215,0.0022135841749920736,0.0022140349622525603,4.507872604867652e-07,34.52690538107622,0.0018753991590155364,0.01137882675175317,0.009503427592737633,38.527705541108226,0.012171507468509288,0.5004043051205961,0.48823279765208677
6707,0,33.5349999999987,0.005,,1,2,0.1353684344041995,-1.2882994440490716,0.35783777841393777,0.01,0.005,1.0176266347667118,1.0000073671496104,False,True,False,False,1,32.52650530106021,0.0031957554618553723,0.0031957554618553723,0.0,33.526705341068215,0.0022135841749920736,0.0022140349622525603,4.507872604867652e-07,34.52690538107622,0.0018753991590155364,0.01137882675175317,0.009503427592737633,38.527705541108226,0.012171507468509288,0.5004043051205961,0.48823279765208677
6708,0,33.539999999998706,0.005,,1,2,0.1332179277445932,-1.2857129750635303,0.36227716809460125,0.01,0.005,1.0173660831018074,1.0000076069221493,False,True,False,False,1,32.546509301860375,0.003163748781721728,0.003163748781721728,0.0,33.54670934186837,0.0022089470561151114,0.002210486528026916,1.539471911804393e-06,34.546909381876375,0.0018668235355805143,0.01176512023063094,0.009898296695050426,38.54770954190838,0.012252287998929006,0.5038292331940059,0.49157694519507683
6709,0,33.54499999999871,0.005,,1,2,0.13105421392573535,-1.283229211421939,0.3667775552392611,0.01,0.005,1.0171227107316219,1.000007860177578,False,True,False,False,1,32.546509301860375,0.003163748781721728,0.003163748781721728,0.0,33.54670934186837,0.0022089470561151114,0.002210486528026916,1.539471911804393e-06,34.546909381876375,0.0018668235355805143,0.01176512023063094,0.009898296695050426,38.54770954190838,0.012252287998929006,0.5038292331940059,0.49157694519507683
6710,0,33.54999999999871,0.005,,1,2,0.1288766453279375,-1.2808451409516446,0.37134397972165045,0.01,0.005,1.0168985998705116,1.0000081280414777,False,True,False,False,1,32.546509301860375,0.003163748781721728,0.003163748781721728,0.0,33.54670934186837,0.0022089470561151114,0.002210486528026916,1.539471911804393e-06,34.546909381876375,0.0018668235355805143,0.01176512023063094,0.009898296695050426,38.54770954190838,0.012252287998929006,0.5038292331940059,0.49157694519507683
6711,0,33.554999999998714,0.005,,1,2,0.12668454601980947,-1.2785576432448742,0.3759819687877998,0.01,0.005,1.0166960912051186,1.0000084117643644,False,True,False,False,1,32.546509301860375,0.003163748781721728,0.003163748781721728,0.0,33.54670934186837,0.0022089470561151114,0.002210486528026916,1.539471911804393e-06,34.546909381876375,0.0018668235355805143,0.01176512023063094,0.009898296695050426,38.54770954190838,0.012252287998929006,0.5038292331940059,0.49157694519507683
6712,0,33.559999999998716,0.005,,1,2,0.1244772093698436,-1.2763634733041163,0.3806975891719921,0.01,0.005,1.016518024632324,1.0000087127391588,False,True,False,False,1,32.56651330266053,0.003131826031252953,0.003131826031252953,0.0,33.566713342668535,0.002205772689775774,0.002209201679173753,3.4289893979786747e-06,34.56691338267654,0.0018586110254191642,0.012159749982925658,0.010301138957506494,38.567713542708546,0.012332453012947763,0.5072518476770919,0.4949193946641441
